date,trade_policy_count,geopolitics_count,domestic_politics_count,trade_policy_spike,geopolitics_spike,domestic_politics_spike,msci_world_close,gold_close,bitcoin_close,msci_world_3d_return,gold_3d_return,bitcoin_3d_return
2025-01-01,2,9,12,False,False,False,,,94443.5234375,,,4.037581653254909
2025-01-02,11,10,14,False,False,False,155.25999450683594,2671.10009765625,96876.2421875,0.7471362251389885,-0.9733817172487709,1.4899647657743744
2025-01-03,5,15,15,False,False,False,156.88999938964844,2652.60009765625,98101.703125,-0.2517714793789462,0.4222253924280146,4.206659574749355
2025-01-04,3,9,9,False,False,False,,,98256.7578125,,,-1.3439994784073772
2025-01-05,8,10,15,False,False,False,,2653.60009765625,98319.6640625,,0.9647216073829534,-3.3374316254926435
2025-01-06,15,18,35,False,False,False,157.9149932861328,2645.10009765625,102228.5078125,-2.346190501083329,1.8222354312634008,-9.535859806718237
2025-01-07,14,17,29,False,False,False,156.4199981689453,2663.800048828125,96936.1875,-1.4000782937235963,1.9933873617498057,-2.322057552036488
2025-01-08,20,25,33,False,False,False,156.4949951171875,2679.199951171875,95038.3125,-1.2556288694211497,1.5639051675127116,-0.5083887221798051
2025-01-09,11,31,29,False,False,False,,2693.300048828125,92480.140625,,-0.27104476648642645,2.1748165864664526
2025-01-10,9,15,33,False,False,False,154.2100067138672,2716.89990234375,94685.2734375,1.9000016524334755,-0.920166399153447,-0.11922722605275783
2025-01-11,10,10,22,False,False,False,,,94555.1484375,,,2.10502154868451
2025-01-12,6,14,14,False,False,False,,2721.10009765625,94491.4140625,,0.0918746062356659,6.308046671899175
2025-01-13,12,18,30,False,False,False,154.22999572753906,2686.0,94572.3828125,1.8803146181736012,2.1965748324646315,5.79190129253676
2025-01-14,7,21,23,False,False,False,154.52999877929688,2691.89990234375,96545.5546875,2.517310179497393,1.7794178172327246,7.895099067142122
2025-01-15,10,23,25,False,False,False,157.13999938964844,2723.60009765625,100451.9765625,2.0173082482232307,0.4662928005768445,3.915443736990927
2025-01-16,13,42,39,False,True,False,157.1300048828125,2745.0,100049.921875,2.377012979244241,0.09107468123861566,0.9184165092582688
2025-01-17,15,26,36,False,False,False,158.4199981689453,2739.800048828125,104167.921875,2.158817200147984,0.6788763115607864,-2.002438370617634
2025-01-18,12,18,27,False,False,False,,,104385.1171875,,,1.7325341593011756
2025-01-19,19,27,29,False,False,False,,2736.300048828125,100968.796875,,0.9903831097481818,2.675594548625248
2025-01-20,26,36,49,False,True,True,,2747.5,102082.0234375,,0.5350300699499545,1.9425172726068398
2025-01-21,30,44,65,True,True,True,160.30999755859375,2758.39990234375,106193.625,0.8795481776450123,0.6888051287942741,-1.2746174735065312
2025-01-22,26,29,45,False,False,True,160.86500549316406,2763.39990234375,103670.3125,-0.5221841718181421,0.33293029013632613,0.9899320261043874
2025-01-23,29,38,46,True,True,True,161.83999633789062,2762.199951171875,104064.984375,-0.4572356964406026,-0.6082126249042004,-1.4601002768852815
2025-01-24,25,30,38,False,False,False,161.72000122070312,2777.39990234375,104840.0625,-0.7358412270738395,-0.27363195012759056,-2.5722961344094966
2025-01-25,12,20,21,False,False,False,,,104696.578125,,,-3.218026914382499
2025-01-26,21,24,33,False,False,False,,2772.60009765625,102545.53125,,0.03606722804508756,1.16092485746423
2025-01-27,22,29,34,False,False,False,160.02499389648438,2745.39990234375,102143.265625,0.9717281636493628,4.050418855831105,2.5507601226157686
2025-01-28,13,34,30,False,False,False,161.10000610351562,2769.800048828125,101327.4140625,-0.3041623057724821,2.2275958583356816,1.0495833085644626
2025-01-29,14,28,43,False,False,True,160.52999877929688,2773.60009765625,103736.0078125,-0.7786706593815842,2.1812805692905677,-2.9804546682462973
2025-01-30,15,26,42,False,False,True,161.5800018310547,2856.60009765625,104748.6953125,-0.5941370856468701,-0.24155101338953086,-6.745512119669152
2025-01-31,18,32,43,False,False,True,160.61000061035156,2831.5,102390.9296875,0.6027036396596267,1.430337277061628,-0.9647689893185882
2025-02-01,7,19,21,False,False,False,,,100644.203125,,,-2.739368527341599
2025-02-02,19,21,26,False,False,False,,2834.10009765625,97682.859375,,1.803036299172484,-1.0881195091961342
2025-02-03,30,33,37,True,False,False,159.27999877929688,2849.699951171875,101403.09375,1.7641873305683324,1.1159086701407965,-4.722157762075184
2025-02-04,27,37,40,False,True,True,160.6199951171875,2872.0,97887.1875,0.01245440983007283,0.49095047549616994,-1.4082697237572588
2025-02-05,33,47,47,True,True,True,161.5780029296875,2885.199951171875,96619.953125,0.14358057699673704,0.24954773650784973,-0.1190149485492208
2025-02-06,18,29,46,False,False,True,162.08999633789062,2881.5,96614.6796875,-0.0987128544168966,2.1412441843440915,-0.11331255545648107
2025-02-07,25,38,50,False,True,True,160.63999938964844,2886.10009765625,96508.671875,0.7034392972522117,1.4102058069616747,0.9589892747656259
2025-02-08,11,14,20,False,False,False,,,96504.9609375,,,-0.7919039136184305
2025-02-09,9,18,21,False,False,False,,2892.39990234375,96505.203125,,1.2826752492346338,1.4107399973414645
2025-02-10,28,30,35,True,False,False,161.80999755859375,2943.199951171875,97434.1796875,1.0877014969286276,0.506256684274621,-0.8202011373864168
2025-02-11,30,36,46,True,True,True,161.92999267578125,2926.800048828125,95740.734375,1.043662396002203,-1.1309312937008833,1.8628271306280129
2025-02-12,24,35,50,False,False,True,161.77000427246094,2929.5,97866.640625,1.4650399051704532,-1.2664310515873016,-0.29343183046444743
2025-02-13,20,40,35,False,True,False,163.57000732421875,2958.10009765625,96635.0234375,0.2873301588734934,-2.177078001363114,-0.44852235978431415
2025-02-14,20,42,36,False,True,False,163.6199951171875,2893.699951171875,97524.21875,0.061120954956635276,2.0596502284942666,-1.8034142160200592
2025-02-15,12,19,19,False,False,False,,,97579.46875,,,-2.1061439346071453
2025-02-16,15,28,29,False,False,False,,2892.39990234375,96201.59375,,2.026002614948423,0.4516638400286378
2025-02-17,13,34,25,False,False,False,,2893.699951171875,95765.453125,,2.2151604775156835,2.685353163466275
2025-02-18,16,28,34,False,False,False,164.13999938964844,2953.300048828125,95524.3046875,-1.772879050158505,-0.12528192566627788,0.6392270422669755
2025-02-19,15,31,43,False,False,True,164.0399932861328,2951.0,96636.1015625,-2.060466814411389,-0.033886818027787195,-0.05778766847696429
2025-02-20,18,37,48,False,True,True,163.72000122070312,2957.800048828125,98337.09375,-2.0095336674758335,0.2772314232371389,-2.0945968062026443
2025-02-21,24,37,42,False,True,True,161.22999572753906,2949.60009765625,96134.921875,-0.42175320585529424,-0.6102522173871227,-4.932163211372038
2025-02-22,13,26,25,False,False,False,,,96580.2578125,,,-8.157302463713592
2025-02-23,9,28,25,False,False,False,,2950.0,96277.328125,,-0.5457660222457628,-12.758658296532364
2025-02-24,11,37,38,False,True,False,160.66000366210938,2966.0,91393.390625,-1.605876865583045,-2.690493891710216,-7.253789721186417
2025-02-25,12,32,42,False,False,True,160.42999267578125,2931.60009765625,88701.9140625,-0.23062714833830134,-2.19334311250472,-4.879148869832202
2025-02-26,25,35,44,False,False,True,160.5500030517578,2933.89990234375,83993.6328125,-1.43257739522829,-1.7519310151886611,2.436047747294833
2025-02-27,25,31,41,False,False,True,158.0800018310547,2886.199951171875,84763.90625,-0.7021764913299133,0.5301104943166799,11.187793669549059
2025-02-28,29,40,38,True,True,False,160.05999755859375,2867.300048828125,84374.015625,-0.5747833206160867,2.0297823799661816,1.946569006268036
2025-03-01,11,33,22,False,False,False,,,86039.7578125,,,1.4148164969882655
2025-03-02,20,44,25,False,True,False,,2882.5,94247.1171875,,1.5542081119904596,-3.8804071510476406
2025-03-03,20,44,38,False,True,False,158.25,2901.5,86016.4140625,-1.118486112139613,0.5376563038514561,4.605870554684285
2025-03-04,29,46,48,True,True,True,156.97000122070312,2925.5,87257.0625,0.3886096742102262,-0.27345752862758504,-0.5864586176047354
2025-03-05,33,51,55,True,True,True,159.13999938964844,2927.300048828125,90589.9453125,-3.5628994537460885,-0.1024835155248598,-4.910166544593586
2025-03-06,27,37,46,False,True,True,156.47999572753906,2917.10009765625,89978.21875,-2.620137370060652,-0.9598573604826471,-10.370817173461772
2025-03-07,25,37,32,False,True,False,157.5800018310547,2917.5,86745.3359375,-2.7858861141244695,0.1645260952227935,-9.311460639589503
2025-03-08,16,28,28,False,False,False,,,86141.828125,,,-3.8400334332351966
2025-03-09,12,22,24,False,False,False,,2924.300048828125,80646.7421875,,0.7146976026665035,3.84406995671613
2025-03-10,30,36,41,True,True,True,153.47000122070312,2889.10009765625,78668.078125,-1.4139559208217296,3.79356373303011,3.060256929976958
2025-03-11,27,35,39,False,False,False,152.3800048828125,2922.300048828125,82833.953125,1.3715686250948291,2.44327759472824,1.3832454347204017
2025-03-12,47,48,47,True,True,True,153.19000244140625,2945.199951171875,83746.859375,1.6972327196881107,1.792749209000775,0.7027595624388153
2025-03-13,30,31,39,True,False,False,151.3000030517578,2998.699951171875,81075.5234375,2.1877048855454695,0.34014577443431504,1.8839301742867642
2025-03-14,28,41,42,True,True,True,154.47000122070312,2993.699951171875,83979.75,0.9969529837269219,1.4864549128439077,0.1364633289572784
2025-03-15,23,26,23,False,False,False,,,84335.3984375,,,-1.9189469576044536
2025-03-16,12,19,27,False,False,False,,2998.0,82602.9296875,,2.054706392803536,5.083988489739364
2025-03-17,17,24,36,False,False,False,155.7899932861328,3008.89990234375,84094.3515625,-0.3273602470084535,1.495563211157265,0.18732679076896236
2025-03-18,22,44,50,False,True,True,154.61000061035156,3038.199951171875,82717.046875,0.446285776264367,-0.32914226057250984,1.59006862816027
2025-03-19,18,30,44,False,False,True,156.00999450683594,3059.60009765625,86802.453125,0.8332819034237258,-0.9543794738033989,-3.446277169946054
2025-03-20,30,43,55,True,True,True,155.27999877929688,3053.89990234375,84251.8828125,1.6164313025294725,-1.29342811693616,2.009135367060139
2025-03-21,19,25,31,False,False,False,155.3000030517578,3028.199951171875,84032.3046875,0.32839310805806515,-0.09576323857438061,4.07147176936697
2025-03-22,9,17,22,False,False,False,,,83811.0,,,4.393395183806422
2025-03-23,16,17,24,False,False,False,,3030.39990234375,85944.6171875,,-0.1781910809716449,1.1214889385070017
2025-03-24,24,27,34,False,False,False,157.30999755859375,3014.39990234375,87453.65625,-1.1505928336942313,1.817942230741083,-0.30785948414821135
2025-03-25,19,41,63,False,True,True,157.7899932861328,3025.300048828125,87493.1484375,-3.105389508191965,3.0575479624188233,-3.5965941261650576
2025-03-26,25,43,52,False,True,True,155.80999755859375,3025.0,86908.4765625,-1.716836591793061,3.2561983471074383,-4.940281555174108
2025-03-27,36,34,48,True,False,True,155.5,3069.199951171875,87184.421875,-1.2604544783711817,2.818324038059911,-5.586451708062095
2025-03-28,26,27,31,False,False,False,152.88999938964844,3117.800048828125,84346.375,1.1315296843779001,0.9269325130266929,-2.143366045665863
2025-03-29,16,24,31,False,False,False,,,82614.953125,,,3.1179661218260843
2025-03-30,14,20,32,False,False,False,,3123.5,82313.90625,,2.074597369237234,0.34751684196739235
2025-03-31,22,26,33,False,False,False,153.13499450683594,3155.699951171875,82538.5234375,-3.176929120637953,-0.6781348884517081,0.68647869067957
2025-04-01,33,27,43,True,False,True,153.5399932861328,3146.699951171875,85190.859375,-9.313526389388135,-2.879202177566512,-1.5814856897609504
2025-04-02,48,36,64,True,True,True,154.6199951171875,3188.300048828125,82599.9609375,-10.723064516001696,-5.419817651467229,1.0457310484124585
2025-04-03,51,42,41,True,True,True,148.27000427246094,3134.300048828125,83105.1328125,-7.958456000361427,-4.434801960073042,-6.036414530277303
2025-04-04,56,48,51,True,True,True,139.24000549316406,3056.10009765625,83843.578125,6.614472200326283,-2.1039902743184777,-5.6176969427257495
2025-04-05,27,26,32,False,False,False,,,83463.734375,,,-8.629327969726372
2025-04-06,30,34,32,True,False,False,,3015.5,78088.5625,,2.841981468143757,5.68438119538953
2025-04-07,44,30,39,True,False,False,138.0399932861328,2995.300048828125,79133.5,4.411773321414293,7.137850811032159,0.5391502176701397
2025-04-08,41,37,43,True,True,True,136.47000122070312,2991.800048828125,76261.375,7.7049895915537405,8.794031994841369,9.405902152301868
2025-04-09,53,52,52,True,True,True,148.4499969482422,3101.199951171875,82527.4140625,-0.16166402109032968,4.498258809377513,3.3252018813066755
2025-04-10,49,45,39,True,True,False,144.1300048828125,3209.10009765625,79560.1484375,3.0597295871223573,0.6138777405623077,5.206379332303518
2025-04-11,47,45,45,True,True,True,146.98500061035156,3254.89990234375,83434.4453125,-0.6497274055781652,0.4393391273823195,1.2991112315066964
2025-04-12,29,32,27,True,False,False,,,85271.6171875,,,-1.92736134449778
2025-04-13,35,32,28,True,False,False,,3240.699951171875,83702.3515625,,3.8016463427082927,0.3975769423294092
2025-04-14,33,34,28,True,False,False,148.2100067138672,3228.800048828125,84518.3515625,-1.025574660012966,3.484266547903183,0.44799811875176143
2025-04-15,34,36,48,True,True,True,148.5399932861328,3269.199951171875,83628.125,-3.1641289623519615,2.8325002764990446,0.9729363626172416
2025-04-16,33,31,37,True,False,False,146.02999877929688,3363.89990234375,84035.1328125,0.8765313908078621,2.4198147640380316,1.262195303917251
2025-04-17,32,23,38,True,False,False,146.69000244140625,3341.300048828125,84896.9921875,1.7792627765440927,0.14664658283138968,0.26958220969069596
2025-04-18,15,23,29,False,False,False,,,84441.7734375,,,3.6443566373907608
2025-04-19,13,16,25,False,False,False,,,85095.8203125,,,9.850164313850241
2025-04-20,17,16,28,False,False,False,,3361.800048828125,85125.859375,,-1.0232656905447544,10.029772092976302
2025-04-21,22,26,33,False,False,False,143.83999633789062,3445.300048828125,87519.1328125,5.700776666442481,-2.4700344367741125,7.2997074121917445
2025-04-22,26,38,40,False,True,True,147.30999755859375,3346.199951171875,93477.8984375,3.869389072506751,-0.47815433128545204,1.346733782576112
2025-04-23,30,34,32,True,False,False,149.3000030517578,3327.39990234375,93663.7890625,2.7327540171853,-0.41173142916260363,1.0696336172471934
2025-04-24,29,29,42,True,False,True,152.0399932861328,3360.199951171875,93907.7734375,1.3877931488596102,-0.36307217871425324,-0.09650425804240281
2025-04-25,28,36,25,True,True,False,153.00999450683594,3330.199951171875,94736.796875,0.7515908741647979,-0.10209303926491252,0.28953572851098147
2025-04-26,12,19,26,False,False,False,,,94665.6484375,,,-0.3995228931957317
2025-04-27,16,14,23,False,False,False,,3313.699951171875,93817.1484375,,-0.9717219919228847,0.40919857818504163
2025-04-28,22,33,34,False,False,False,153.3800048828125,3348.0,95011.09375,0.8410439725298032,-3.0406227248543907,1.5557722700145213
2025-04-29,42,34,37,True,False,False,154.14999389648438,3326.800048828125,94287.4375,2.0045486338161704,-2.386682256793399,2.7661426263705597
2025-04-30,38,35,51,True,False,True,154.16000366210938,3281.5,94201.046875,1.6151986087342114,-0.8014642336774341,1.7837182342884659
2025-05-01,29,32,43,True,False,True,154.6699981689453,3246.199951171875,96489.25,0.6982620054569385,2.975790127203269,-2.308628292789093
2025-05-02,26,24,40,False,False,True,157.24000549316406,3247.39990234375,96895.5625,-0.8140414236709769,4.9824491498983186,-2.2132479622067316
2025-05-03,13,20,23,False,False,False,,,95881.328125,,,0.9973429067996652
2025-05-04,15,22,26,False,False,False,,3255.199951171875,94261.671875,,3.9291026174392396,2.945905074421321
2025-05-05,22,25,27,False,False,False,156.64999389648438,3342.800048828125,94751.0234375,-0.04787548749714354,-0.6521493511335616,8.890463007037111
2025-05-06,44,38,53,True,True,True,155.75,3409.199951171875,96837.59375,0.6227937211577047,-2.349520552119319,6.336075574988148
2025-05-07,32,38,34,True,True,False,155.9600067138672,3383.10009765625,97038.53125,3.0007646026634394,-2.6661994238653786,7.977283830231096
2025-05-08,36,30,33,True,False,False,156.5749969482422,3321.0,103174.828125,3.1837781941643057,-2.399878084067299,0.8843075671467227
2025-05-09,36,30,32,True,False,False,156.72000122070312,3329.10009765625,102973.296875,3.0946950393941974,-2.1267023144774044,-0.11470661917660388
2025-05-10,8,17,23,False,False,False,,,104779.5703125,,,-0.5425079510296354
2025-05-11,13,16,15,False,False,False,,3292.89990234375,104087.2109375,,-3.1583103976521456,-0.5233216766919387
2025-05-12,25,35,28,False,False,False,160.63999938964844,3241.300048828125,102855.1796875,1.2076708470974151,-0.003088194697870991,0.8637447843649707
2025-05-13,26,30,35,False,False,False,161.55999755859375,3258.300048828125,104211.1328125,1.1946075536862688,-1.6266150816608156,-0.7011831824290007
2025-05-14,22,28,27,False,False,False,161.57000732421875,3188.89990234375,103542.5,1.4854204293426587,1.5522594473291218,-0.33137811768114545
2025-05-15,15,28,36,False,False,False,162.5800018310547,3241.199951171875,103743.5859375,0.7442437209070092,-0.505982432148949,2.6359686845097876
2025-05-16,16,31,29,False,False,False,163.49000549316406,3205.300048828125,103480.421875,-1.1438071522083058,2.7641672282137075,2.058903956319032
2025-05-17,16,19,23,False,False,False,,,103199.3828125,,,3.4570292140040504
2025-05-18,11,28,23,False,False,False,,3238.39990234375,106478.234375,,2.5722594904921308,2.9525253620641663
2025-05-19,20,25,32,False,False,False,163.97000122070312,3224.800048828125,105610.984375,-1.475878606409231,2.331926011946144,5.746021328569782
2025-05-20,24,33,36,False,False,False,163.7899932861328,3293.89990234375,106767.015625,-1.7827695760657514,1.936915228745371,0.4517137124951834
2025-05-21,22,24,37,False,False,False,161.6199951171875,3321.699951171875,109622.03125,1.3859705239688185,0.5960817990541158,-1.6288283177566099
2025-05-22,24,27,38,False,False,False,161.5500030517578,3300.0,111679.4140625,0.7551848948664258,1.3848470052083335,-2.3621114147533766
2025-05-23,25,32,32,False,False,False,160.8699951171875,3357.699951171875,107249.296875,1.5913455810879413,-1.471242310573608,2.039494722794657
2025-05-24,13,14,20,False,False,False,,,107836.4765625,,,1.0793179400899902
2025-05-25,4,13,17,False,False,False,,3341.5,109041.421875,,-2.576690039091725,-1.1635414924746919
2025-05-26,12,16,18,False,False,False,,3345.699951171875,109436.640625,,-0.20025558985133307,-3.490125921891163
2025-05-27,12,19,31,False,False,False,163.86000061035156,3308.300048828125,109000.375,-0.29903911347422957,0.14509109685577903,-4.588150786178488
2025-05-28,8,18,21,False,False,False,162.77000427246094,3255.39990234375,107772.6796875,1.0997070953789128,2.3929516747939386,-2.893380257911201
2025-05-29,24,22,33,False,False,False,163.42999267578125,3339.0,105617.1640625,0.89946844923341,2.21024404995882,0.049345376731720555
2025-05-30,20,25,33,False,False,False,163.3699951171875,3313.10009765625,103999.2734375,1.0650704200094596,2.155078332654653,1.8139850285913206
2025-05-31,19,17,20,False,False,False,,,104654.40625,,,0.7563211773512881
2025-06-01,13,15,25,False,False,False,,3333.300048828125,105669.28125,,2.049021925048031,-0.8949946132050558
2025-06-02,14,24,25,False,False,False,164.55999755859375,3412.800048828125,105885.8046875,-0.00607347288783158,-0.8262995419716488,-3.975833930170792
2025-06-03,20,31,36,False,False,False,164.89999389648438,3384.5,105445.9296875,0.5518518470538136,-1.5807357068990988,-0.9958969640764495
2025-06-04,20,28,37,False,False,False,165.11000061035156,3401.60009765625,104723.546875,0.47241159009963263,-1.8579548888197004,0.8621658184264015
2025-06-05,24,30,41,False,False,True,164.5500030517578,3384.60009765625,101675.9609375,1.2822853668911083,-1.1227323436619303,3.9968502879437073
2025-06-06,21,26,42,False,False,True,165.80999755859375,3331.0,104395.796875,0.27743002270091155,0.5253677574302011,5.651643362677286
2025-06-07,6,15,23,False,False,False,,,105626.4375,,,4.398364696811818
2025-06-08,13,13,21,False,False,False,,3338.39990234375,105739.796875,,1.4198462697982153,2.7835649627542374
2025-06-09,28,42,46,True,True,True,165.88999938964844,3346.60009765625,110295.875,0.6630936810915833,2.0856930212959544,-3.951048713290502
2025-06-10,24,36,40,False,True,True,166.66000366210938,3348.5,110272.2734375,-0.9300390121797472,3.108857627482455,-3.7945494429944744
2025-06-11,28,43,42,True,True,True,166.27000427246094,3385.800048828125,108683.1328125,-0.661578201268993,2.3096446938424835,-2.952318167470933
2025-06-12,23,28,32,False,False,False,166.99000549316406,3416.39990234375,105938.03125,-1.9821622303727102,0.17562346831481362,-0.3635748729283658
2025-06-13,17,41,36,False,True,False,165.11000061035156,3452.60009765625,106087.9375,-0.8479158690019424,-1.3612929001509704,0.6911129740834108
2025-06-14,11,25,20,False,False,False,,,105474.4609375,,,-0.808941382507362
2025-06-15,22,31,25,False,False,False,,3464.0,105552.8671875,,-2.0814115951573324,-0.7074727881844162
2025-06-16,32,39,27,True,True,False,165.1699981689453,3422.39990234375,106821.125,-1.3016854878724635,-1.0869551260330357,-2.0060697263766882
2025-06-17,37,42,42,True,True,True,163.67999267578125,3405.60009765625,104621.234375,0.482654313460736,-0.622509828064959,-1.2595584757456173
2025-06-18,30,42,40,True,True,True,163.7100067138672,3391.89990234375,104806.109375,1.6370365682443277,-0.10318700730471304,-2.4079732947342793
2025-06-19,19,33,28,False,False,False,,3385.199951171875,104678.21875,,-0.7828193424978142,-3.559255850444054
2025-06-20,10,23,19,False,False,False,163.02000427246094,3384.39990234375,103303.46875,1.926143606523558,-1.3709934902083332,2.2218896328202917
2025-06-21,10,19,19,False,False,False,,,102282.40625,,,3.6823292862256065
2025-06-22,7,30,18,False,False,False,,3388.39990234375,100952.453125,,-1.0506390786695705,6.358686491799899
2025-06-23,17,42,26,False,True,False,164.47000122070312,3358.699951171875,105598.7578125,1.884845917496961,-0.8009022161793413,1.2834845580347958
2025-06-24,21,42,40,False,True,True,166.38999938964844,3338.0,106048.78125,1.3522447312058699,-1.5548203218618935,0.982109942918368
2025-06-25,18,28,35,False,False,False,166.16000366210938,3352.800048828125,107371.703125,1.9258527188946526,-2.335362911232733,-0.036955442025359046
2025-06-26,17,36,36,False,True,False,167.57000732421875,3331.800048828125,106954.1015625,0.8951482571088999,-0.22210656029547188,1.3415801535778527
